title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,Español,2–3 hours per week,4 Weeks,50.0
AI Chatbots without Programming,35440,Self-paced on your time,IBM,Introductory,Computer Science,English,English,2–4 hours per week,2 Weeks,99.0
Introducción a la Ciencia de Datos y el Big Data,16268,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,Español,3–5 hours per week,4 Weeks,49.0
Just Money: Banking as if Society Mattered,25553,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,3–4 hours per week,16 Weeks,49.0
Introducción a R,6431,Self-paced on your time,Universidades Anáhuac,Introductory,Data Analysis & Statistics,Español,Español,5–8 hours per week,4 Weeks,49.0
Computing in Python IV: Objects & Algorithms,28112,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,English,9–10 hours per week,5 Weeks,99.0
Adobe Illustrator: aprende a crear presentaciones de impacto,18613,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Design,Español,Español,9–10 hours per week,5 Weeks,15.0
Teaching Critical Thinking through Art with the National Gallery of Art,18595,Self-paced on your time,The Smithsonian Institution,Introductory,Education & Teacher Training,English,"English, Español, Français, 中文",3–4 hours per week,16 Weeks,25.0
Word intermedio: herramientas de formato y productividad,10265,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,Español,4–5 hours per week,6 Weeks,50.0
Introducción a las finanzas: Principios de valoración,17344,Self-paced on your time,Universidad del Rosario,Intermediate,Economics & Finance,Español,Español,6–10 hours per week,4 Weeks,49.0
Aprende a diseñar jardines verticales y cuadros vivos,6341,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,Español,1–2 hours per week,4 Weeks,29.0
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,English,2–3 hours per week,4 Weeks,49.0
Software Engineering: Introduction,35524,Self-paced on your time,University of British Columbia,Advanced,Computer Science,English,English,8–10 hours per week,6 Weeks,125.0
Structure of Materials,13042,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,English,6–8 hours per week,16 Weeks,150.0
Fundamentos de fotografía documental,13036,Self-paced on your time,Universidad del Rosario,Introductory,Art & Culture,Español,Español,4–6 hours per week,6 Weeks,49.0
AP® Italian Language and Culture (2020-2021),39398,Self-paced on your time,Wellesley College,Advanced,Humanities,Italiano,Italiano,3–8 hours per week,12 Weeks,49.0
Computer Hardware and Operating Systems,9715,Self-paced on your time,New York University,Introductory,Computer Science,English,English,3–5 hours per week,6 Weeks,150.0
Marketing Management,43415,Instructor-led on a course schedule,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,English,8–10 hours per week,7 Weeks,214.0
You Can Innovate: User  Innovation & Entrepreneurship,18974,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,2–4 hours per week,10 Weeks,49.0
Analytics in Python,82210,Instructor-led on a course schedule,Columbia University,Intermediate,Business & Management,English,,8–10 hours per week,12 Weeks,249.0
Bases Matemáticas: Álgebra,35811,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,Español,3–4 hours per week,4 Weeks,50.0
HTML5 Apps and Games,86850,Self-paced on your time,The World Wide Web Consortium (W3C),Advanced,Computer Science,English,English,6–8 hours per week,4 Weeks,199.0
MATLAB and Octave for Beginners,68706,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Computer Science,English,English,5–6 hours per week,4 Weeks,139.0
AP Physics 1,43401,Self-paced on your time,Rice University,Introductory,Physics,English,English,3–4 hours per week,18 Weeks,49.0
The Divine Comedy: Dante's Journey to Freedom,12005,Self-paced on your time,Georgetown University,Introductory,Humanities,English,English,9–10 hours per week,8 Weeks,49.0
Linux Basics: The Command Line Interface,32726,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,3–5 hours per week,7 Weeks,49.0
Entrepreneurial Operations: Launching a Startup,23808,Self-paced on your time,Babson College,Intermediate,Business & Management,English,English,4–6 hours per week,4 Weeks,149.0
Maths Essentials,44642,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,English,2–5 hours per week,6 Weeks,79.0
"Marketing Analytics: Products, Distribution and Sales",50588,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,English,5–7 hours per week,4 Weeks,249.0
Marketing Innovative Products and Services,6293,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,149.0
Just Reading and Writing in English | 生活英语读写,33303,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,English,English,2–4 hours per week,15 Weeks,149.0
Introduction to Java Programming – Part 1,270376,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Computer Science,English,English,3–5 hours per week,5 Weeks,99.0
Comunicación y Redacción Digital,7165,Self-paced on your time,Universidades Anáhuac,Introductory,Communication,Español,Español,3–4 hours per week,4 Weeks,29.0
Monetary Policy Analysis and Forecasting,6616,Self-paced on your time,The International Monetary Fund,Advanced,Economics & Finance,English,English,8–10 hours per week,6 Weeks,25.0
Basic Analytical Chemistry,19010,Self-paced on your time,The University of Tokyo,Introductory,Chemistry,English,English,3–4 hours per week,6 Weeks,49.0
Identifying Entrepreneurial Opportunities,11922,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,149.0
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855,Self-paced on your time,Harvard University,Introductory,Literature,English,English,1–2 hours per week,5 Weeks,139.0
Astrophysics: Cosmology,83322,Self-paced on your time,Australian National University,Intermediate,Physics,English,English,2–4 hours per week,10 Weeks,50.0
Japanese Culture and Language (I) |日语与日本文化（1）,18489,Self-paced on your time,Tsinghua University,Introductory,Art & Culture,中文,"日本語, 中文",3–5 hours per week,10 Weeks,139.0
COVID-19 Training for Healthcare Workers,5742,Self-paced on your time,Stanford University,Introductory,Medicine,English,English,1–10 hours per week,2 Weeks,10.0
The Rise of Superheroes and Their Impact On Pop Culture,31368,Self-paced on your time,The Smithsonian Institution,Introductory,Humanities,English,English,1–2 hours per week,6 Weeks,50.0
Introduction to Aeronautical Engineering,99971,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,English,10–12 hours per week,7 Weeks,50.0
Diseño de Jardines,5683,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,Español,1–2 hours per week,4 Weeks,29.0
"Introducción al griego clásico: lengua, nombres y mitología",18849,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Language,Español,Español,4–5 hours per week,5 Weeks,49.0
Deep Learning Fundamentals with Keras,32140,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,99.0
Existential Well-being Counseling: A Person-centered Experiential Approach,48439,Self-paced on your time,KU Leuven University,Introductory,Humanities,English,English,6–8 hours per week,12 Weeks,49.0
Solid Waste Management,7668,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,English,2–3 hours per week,6 Weeks,5.0
Retail Fundamentals,37558,Self-paced on your time,Dartmouth College,Intermediate,Business & Management,English,English,3–5 hours per week,4 Weeks,99.0
Greatest Unsolved Mysteries of the Universe,93965,Self-paced on your time,Australian National University,Intermediate,Physics,English,English,2–4 hours per week,9 Weeks,50.0
"Money Markets, Foreign Exchange and Time Value of Money",12230,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,English,1–2 hours per week,4 Weeks,199.0
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,Español,9–10 hours per week,4 Weeks,49.0
Designing the User Experience,6416,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,English,2–3 hours per week,4 Weeks,199.0
Introduction to Bioconductor,36370,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,149.0
Connected Strategy,10355,Self-paced on your time,The Wharton School of the University of Pennsylvania,Intermediate,Business & Management,English,English,2–4 hours per week,6 Weeks,199.0
Hybrid Vehicles,18294,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,English,10–20 hours per week,6 Weeks,249.0
First Nights - Handel's Messiah and Baroque Oratorio,18029,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,49.0
Statistical Inference and Modeling for High-throughput Experiments,51590,Self-paced on your time,Harvard University,Intermediate,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,149.0
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,3–5 hours per week,3 Weeks,49.0
18th-Century Opera: Handel & Mozart,18331,Self-paced on your time,Harvard University,Introductory,Music,English,English,3–4 hours per week,5 Weeks,99.0
Introduction to video game development with Unity,7605,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,English,English,3–4 hours per week,6 Weeks,50.0
Best Practices for Project Management Success,46610,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,11 Weeks,150.0
Fundamentos de la Tecnología Blockchain,5473,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,Español,7–10 hours per week,5 Weeks,49.0
Información financiera y su análisis,5473,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,Español,5–8 hours per week,4 Weeks,49.99
Coaching Skills for Learner-Centred Conversations,8089,Self-paced on your time,Imperial College London,Introductory,Education & Teacher Training,English,English,1–2 hours per week,4 Weeks,49.0
Intellectual Property Law and Policy: Part 1,43993,Self-paced on your time,University of Pennsylvania,Intermediate,Law,English,English,2–3 hours per week,6 Weeks,169.0
Robotics,68199,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,10 Weeks,249.0
La gestion des ressources humaines,6824,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,Français,1–2 hours per week,7 Weeks,99.0
Writing for Social Justice,9927,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,English,4–5 hours per week,4 Weeks,50.0
Steps in Japanese for Beginners1 Part2,8080,Self-paced on your time,Waseda University,Introductory,Language,English,"English, 日本語",3–5 hours per week,5 Weeks,99.0
Case Studies in Functional Genomics,26850,Self-paced on your time,Harvard University,Advanced,Data Analysis & Statistics,English,English,2–4 hours per week,5 Weeks,149.0
Essential Career Skills for Investment Banking and Finance,11655,Self-paced on your time,NYIF,Introductory,Business & Management,English,English,3–4 hours per week,2 Weeks,49.0
Data Structures and Software Design,30609,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,English,8–10 hours per week,4 Weeks,149.0
Unconscious Bias: From Awareness to Action,26659,Self-paced on your time,Catalyst,Introductory,Communication,English,English,1–2 hours per week,3 Weeks,49.0
Cybersecurity for Critical Urban Infrastructure,5306,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Computer Science,English,English,3–5 hours per week,4 Weeks,100.0
"Agile Process, Project, and Program Controls",16339,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,199.0
Risk Management in Development Projects,13263,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,English,English,2–3 hours per week,10 Weeks,25.0
"Pintura europea: Leonardo, Rembrandt, Goya",32635,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,Español,Español,2–3 hours per week,7 Weeks,29.0
Risk & Return,21970,Self-paced on your time,Columbia University,Introductory,Business & Management,English,English,3–4 hours per week,4 Weeks,225.0
Project Management of Engineering Projects: Preparing for Success,42834,Instructor-led on a course schedule,Delft University of Technology,Intermediate,Business & Management,English,English,4–6 hours per week,10 Weeks,99.0
Supply Chain Dynamics,75464,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Business & Management,English,English,8–12 hours per week,13 Weeks,299.0
AWS Developer: Building on AWS,54249,Self-paced on your time,Amazon Web Services,Advanced,Computer Science,English,English,3–4 hours per week,6 Weeks,149.0
Financial Accounting Made Fun: Eliminating Your Fears,36787,Self-paced on your time,Babson College,Introductory,Business & Management,English,English,4–6 hours per week,4 Weeks,199.0
PredictionX: John Snow and the Cholera Epidemic of 1854,17713,Self-paced on your time,Harvard University,Introductory,History,English,English,3–5 hours per week,1 Weeks,25.0
Gestión de operaciones,9512,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,"English, Español",5–7 hours per week,6 Weeks,119.0
Microeconomics & Business,10962,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,English,10–18 hours per week,8 Weeks,79.0
Inteligencia artificial: Chatbots sin programación,5001,Self-paced on your time,IBM,Introductory,Computer Science,Español,English,2–4 hours per week,2 Weeks,49.0
Diseño e innovación de modelo de negocios,7180,Self-paced on your time,Tecnológico de Monterrey,Advanced,Business & Management,Español,English,5–8 hours per week,4 Weeks,99.0
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,English,4–6 hours per week,4 Weeks,5.0
Business Communication,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,English,4–6 hours per week,3 Weeks,199.0
Gestão de riscos em projetos,8771,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Português,Português,3–4 hours per week,10 Weeks,25.0
Vocal Recording Technology,52369,Self-paced on your time,Berklee College of Music,Introductory,Engineering,English,English,5–6 hours per week,6 Weeks,49.0
Agua 2.0: empresas eficientes para el siglo XXI,0,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,Español,2–3 hours per week,8 Weeks,25.0
IoT Sensors and Devices,33072,Self-paced on your time,Curtin University,Introductory,Computer Science,English,English,4–6 hours per week,5 Weeks,199.0
Introducción a las tecnologías para la Educación,31533,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,5 Weeks,49.0
Fundamentos de la guitarra eléctrica y acústica,13124,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,2–5 hours per week,6 Weeks,49.0
e-Learning on Digital Agriculture,6238,Self-paced on your time,World Bank Group,Introductory,Environmental Studies,English,English,2–3 hours per week,5 Weeks,5.0
Exploring GraphQL: A Query Language for APIs,9503,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,1–2 hours per week,7 Weeks,149.0
EmSAT English Preparation - Level 2,7346,Self-paced on your time,United Arab Emirates University,Intermediate,Language,English,English,2–3 hours per week,6 Weeks,49.0
The Data Science Method,7868,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,3–7 hours per week,7 Weeks,39.0
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Self-paced on your time,Tsinghua University,Introductory,Humanities,English,"English, 中文",1–3 hours per week,16 Weeks,49.0
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Self-paced on your time,Waseda University,Intermediate,Physics,English,English,3–5 hours per week,4 Weeks,49.0
Macroeconomic Diagnostics,23408,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,6–8 hours per week,6 Weeks,25.0
BioStatistics,14937,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,English,5–10 hours per week,8 Weeks,79.0
Results-Based Project Management: Monitoring and Evaluation,32810,Self-paced on your time,Wits University,Intermediate,Business & Management,English,English,3–4 hours per week,8 Weeks,199.0
Estrategias y estilos de negociación,12639,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,English,5–8 hours per week,4 Weeks,149.0
Políticas efectivas de desarrollo infantil,64387,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,"English, Español, Português",4–5 hours per week,10 Weeks,25.0
Alzheimer’s Disease & Dementia Care,5763,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,English,2–3 hours per week,5 Weeks,49.0
Understanding Classroom Interaction,27114,Self-paced on your time,University of Pennsylvania,Introductory,Education & Teacher Training,English,English,2–3 hours per week,5 Weeks,49.0
Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,99.0
International Humanitarian Law,31419,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,English,4–12 hours per week,12 Weeks,150.0
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Education & Teacher Training,Español,Español,3–5 hours per week,6 Weeks,49.0
Introduction to Astrophysics,20802,Self-paced on your time,École polytechnique fédérale de Lausanne,Introductory,Physics,English,English,3–4 hours per week,7 Weeks,139.0
Epidemics I,10618,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,"English, 中文, 中文",2–3 hours per week,5 Weeks,139.0
Introducción a la genética y la evolución,15297,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Biology & Life Sciences,Español,Español,2–3 hours per week,3 Weeks,49.0
Fundamentals of Macroeconomics,17820,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Economics & Finance,English,English,2–3 hours per week,6 Weeks,129.0
"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Self-paced on your time,University of Hong Kong,Introductory,Computer Science,English,"English, 中文",3–4 hours per week,6 Weeks,199.0
Molecular Biology - Part 2: Transcription and Transposition,18168,Self-paced on your time,Massachusetts Institute of Technology,Advanced,Biology & Life Sciences,English,"English, 中文",4–8 hours per week,7 Weeks,99.0
"One Planet, One Ocean",12166,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,English,4–6 hours per week,6 Weeks,49.0
Reputation Management in a Digital World,39672,Self-paced on your time,Curtin University,Intermediate,Communication,English,English,3–4 hours per week,6 Weeks,99.0
Google Ads: publicidad efectiva,12084,Self-paced on your time,Universidad Galileo,Introductory,Business & Management,Español,Español,2–4 hours per week,5 Weeks,49.0
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,Español,3–4 hours per week,4 Weeks,50.0
Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced on your time,IBM,Introductory,Computer Science,English,English,7–14 hours per week,14 Weeks,99.0
Japanese Business Management,14852,Self-paced on your time,Waseda University,Intermediate,Business & Management,English,English,3–5 hours per week,4 Weeks,129.0
Introduction to Cloud Computing,0,Self-paced on your time,IBM,Introductory,Computer Science,English,English,1–2 hours per week,6 Weeks,49.0
Fundamentos de logística,7397,Self-paced on your time,LOGYCA,Introductory,Engineering,Español,Español,4–8 hours per week,5 Weeks,29.0
Sustainable Urban Development,45760,Self-paced on your time,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University,Introductory,Social Sciences,English,English,4–6 hours per week,7 Weeks,50.0
Introduction to Biomedical Imaging,56485,Self-paced on your time,The University of Queensland,Introductory,Medicine,English,English,4–5 hours per week,12 Weeks,99.0
Introducción a la programación en Java: empezando a programar,23321,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,Español,Español,7–10 hours per week,5 Weeks,49.0
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,"English, 中文",7–9 hours per week,5 Weeks,169.0
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,139.0
Introduction to DevOps and Site Reliability Engineering,8697,Self-paced on your time,The Linux Foundation,Introductory,Computer Science,English,English,1–2 hours per week,10 Weeks,149.0
SQL aplicado en la  ciencia de datos,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,Español,2–4 hours per week,4 Weeks,39.0
Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Introductory,Language,English,English,3–5 hours per week,4 Weeks,99.0
Gender and Intersectionality,0,Self-paced on your time,The University of Iceland,Introductory,Humanities,English,English,2–5 hours per week,6 Weeks,50.0
Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,English,8–10 hours per week,7 Weeks,214.0
Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,English,3–5 hours per week,5 Weeks,99.0
Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,Español,4–6 hours per week,7 Weeks,59.0
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,"English, Русский",2–4 hours per week,11 Weeks,49.0
Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,English,6–8 hours per week,6 Weeks,50.0
Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,Español,2–3 hours per week,10 Weeks,25.0
Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,Español,5–8 hours per week,4 Weeks,149.0
"MathTrackX: Polynomials, Functions and Graphs",0,Self-paced on your time,University of Adelaide,Introductory,Math,English,English,3–6 hours per week,4 Weeks,79.0
Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,English,6–8 hours per week,6 Weeks,49.0
Network and Security Foundations,7301,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,English,9–10 hours per week,8 Weeks,299.7
Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,Introductory,Environmental Studies,English,English,5–10 hours per week,3 Weeks,179.0
"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,,8–10 hours per week,12 Weeks,249.0
Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,English,8–10 hours per week,6 Weeks,99.0
Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,4–5 hours per week,8 Weeks,49.0
Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,Español,4–5 hours per week,3 Weeks,49.0
Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,Intermediate,History,English,English,2–3 hours per week,10 Weeks,50.0
"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,English,8–12 hours per week,6 Weeks,299.0
Negotiation Strategies and Styles,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,149.0
Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,6 Weeks,49.0
Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,"English, Español",4–6 hours per week,8 Weeks,49.0
Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,Español,2–4 hours per week,4 Weeks,49.0
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Intermediate,Business & Management,English,English,2–3 hours per week,4 Weeks,199.0
Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",4–6 hours per week,6 Weeks,149.0
Human Rights Defenders,27338,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,English,4–5 hours per week,4 Weeks,49.0
Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,6–8 hours per week,7 Weeks,79.0
Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,中文,English,3–5 hours per week,13 Weeks,139.0
Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,"English, 中文",8–10 hours per week,7 Weeks,169.0
Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Intermediate,Medicine,English,English,3–5 hours per week,6 Weeks,49.0
Le management,6273,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,Français,2–3 hours per week,5 Weeks,149.0
Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,Intermediate,Architecture,English,English,3–5 hours per week,6 Weeks,50.0
Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,English,2–3 hours per week,4 Weeks,199.0
International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,Advanced,Law,English,English,6–8 hours per week,10 Weeks,150.0
Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,12 Weeks,249.0
Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Introductory,Humanities,English,English,8–10 hours per week,7 Weeks,49.0
Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Business & Management,Français,Français,3–5 hours per week,10 Weeks,150.0
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,English,English,10–11 hours per week,12 Weeks,250.0
Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,8 Weeks,49.0
PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,Introductory,History,English,English,2–5 hours per week,1 Weeks,49.0
Information Technology Foundations,6388,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,English,9–10 hours per week,6 Weeks,399.6
Introducción a la Inteligencia Artificial de Watson,0,Self-paced on your time,IBM,Introductory,Computer Science,Español,Español,4–8 hours per week,8 Weeks,49.0
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,English,4–5 hours per week,5 Weeks,125.0
Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,English,English,8–10 hours per week,8 Weeks,299.0
"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,English,2–4 hours per week,6 Weeks,149.0
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Intermediate,Math,English,English,6–8 hours per week,8 Weeks,159.0
Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,Español,3–4 hours per week,6 Weeks,49.0
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,English,6–8 hours per week,6 Weeks,79.0
Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,Español,3–5 hours per week,4 Weeks,49.0
Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,English,5–8 hours per week,4 Weeks,149.0
Automata Theory,0,Self-paced on your time,Stanford University,Advanced,Computer Science,English,English,5–10 hours per week,7 Weeks,129.0
