title,n_enrolled,course_type,institution,Level,subject,language,subtitles,course_effort,course_length,price_numeric
Introduction to Linear Models and Matrix Algebra,92004,Self-paced on your time,Harvard University,Intermediate,Math,English,English,2–4 hours per week,4 Weeks,149.0
DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,"English, हिन्दी",3–4 hours per week,6 Weeks,150.0
El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced on your time,Inter-American Development Bank,Introductory,Art & Culture,Español,Español,2–4 hours per week,8 Weeks,25.0
Humanitarian Response to Conflict and Disaster,119891,Self-paced on your time,Harvard University,Introductory,Health & Safety,English,English,3–4 hours per week,5 Weeks,99.0
"Women Making History: Ten Objects, Many Stories",38939,Self-paced on your time,Harvard University,Introductory,History,English,English,2–3 hours per week,8 Weeks,99.0
Masterpieces of World Literature,88789,Self-paced on your time,Harvard University,Introductory,Literature,English,English,5–7 hours per week,12 Weeks,149.0
SQL for Data Science,39184,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,English,2–4 hours per week,4 Weeks,39.0
El cerebro y las emociones en el lenguaje,41279,Self-paced on your time,Universidad del Rosario,Introductory,Communication,Español,Español,4–5 hours per week,5 Weeks,49.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced on your time,Harvard University,Introductory,Physics,English,English,2–3 hours per week,16 Weeks,169.0
Python: aprender a programar,21613,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,Español,3–4 hours per week,8 Weeks,49.0
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,English,5–7 hours per week,4 Weeks,249.0
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced on your time,Harvard University,Intermediate,Biology & Life Sciences,English,"English, Français",3–5 hours per week,8 Weeks,49.0
Entrepreneurship in Emerging Economies,113602,Self-paced on your time,Harvard University,Introductory,Business & Management,English,English,3–5 hours per week,6 Weeks,125.0
JavaScript Introduction,160112,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,English,6–8 hours per week,5 Weeks,199.0
People Management,113592,Self-paced on your time,Indian Institute of Management Bangalore,Introductory,Business & Management,English,"English, हिन्दी",2–4 hours per week,6 Weeks,150.0
Using Email for Networking in English,57208,Self-paced on your time,University of Washington,Introductory,Language,English,English,3–5 hours per week,4 Weeks,149.0
Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,Introductory,Computer Science,English,English,8–10 hours per week,2 Weeks,50.0
C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,English,2–4 hours per week,7 Weeks,49.0
Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Business & Management,English,English,8–12 hours per week,15 Weeks,199.0
Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,English,6–8 hours per week,4 Weeks,149.0
Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,2–4 hours per week,7 Weeks,99.0
Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,50.0
EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,Introductory,Language,English,English,2–3 hours per week,6 Weeks,49.0
Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,English,8–10 hours per week,10 Weeks,350.0
Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,English,1–2 hours per week,4 Weeks,199.0
Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,English,8–10 hours per week,10 Weeks,5.0
China and Communism,69104,Self-paced on your time,Harvard University,Introductory,History,English,"English, 中文",1–3 hours per week,15 Weeks,139.0
Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,Introductory,Language,English,English,4–10 hours per week,6 Weeks,149.0
Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Biology & Life Sciences,English,"English, 中文",5–10 hours per week,16 Weeks,150.0
Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Art & Culture,Español,Español,8–10 hours per week,5 Weeks,19.0
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,English,2–3 hours per week,9 Weeks,99.0
生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,Introductory,Communication,English,English,2–4 hours per week,10 Weeks,49.0
Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,Introductory,Humanities,English,English,5–7 hours per week,4 Weeks,49.0
Basic Spanish 2: One Step Further,67687,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,"English, Español",4–5 hours per week,4 Weeks,50.0
Financial Market Analysis,37452,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,English,8–10 hours per week,7 Weeks,25.0
CS50's Computer Science for Business Professionals,73208,Self-paced on your time,Harvard University,Introductory,Computer Science,English,English,2–6 hours per week,6 Weeks,90.0
Gobierno Digital,18883,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,Español,1–2 hours per week,8 Weeks,25.0
Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,English,3–5 hours per week,4 Weeks,50.0
The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,Introductory,Medicine,English,English,1–2 hours per week,10 Weeks,99.0
Gestión de Proyectos de Desarrollo,306286,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,Español,3–4 hours per week,10 Weeks,49.0
Statistical Learning,27968,Self-paced on your time,Stanford University,Introductory,Data Analysis & Statistics,English,English,3–5 hours per week,9 Weeks,50.0
Introduction to Social Psychology,79365,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,English,1–2 hours per week,7 Weeks,99.0
Artificial Intelligence (AI),265104,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,English,8–10 hours per week,12 Weeks,249.0
